cvi_name,cvi_area_sq_miles,GEOID,tract_area_sq_miles,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units,intersection_area_sq_miles,overlap_share,total_population_weighted,poverty_universe_weighted,below_poverty_weighted,housing_units_weighted,occupied_units_weighted,vacant_units_weighted
Live in Peace,5.034027318117923,26163506400,0.7043636952673102,1253.0,721.0,307.0,466.0,267.0,199.0,0.0880099069954902,0.1249495219399261,156.5617509907274,90.08860531868672,38.35950323555731,58.22647722400556,33.36152235796027,24.864954866045295
Live in Peace,5.034027318117923,26163506500,0.36905718399790327,1955.0,1955.0,551.0,991.0,702.0,289.0,0.24072871482031027,0.6522802569849933,1275.2079024056618,1275.2079024056618,359.4064215987313,646.4097346721284,457.90074040346525,188.50899426866306
Live in Peace,5.034027318117923,26163506600,0.4775311485551279,2547.0,2547.0,794.0,1524.0,1057.0,467.0,0.34642446882053823,0.725448946877537,1847.718467697087,1847.718467697087,576.0064638207645,1105.5841950413665,766.7995368495566,338.7846581918098
Live in Peace,5.034027318117923,26163506700,0.36103672281499705,1267.0,1243.0,536.0,457.0,367.0,90.0,0.006951934625393523,0.01925547786715271,24.396690457682485,23.93455898887082,10.320936136793852,8.799753385288788,7.0667603772450445,1.732993008043744
Live in Peace,5.034027318117923,26163506800,0.6751859019364383,4230.0,4215.0,1006.0,1763.0,1625.0,138.0,0.43709836726576196,0.6473748430056974,2738.3955859140997,2728.6849632690146,651.2590920637316,1141.3218482190443,1051.9841198842582,89.33772833478623
Live in Peace,5.034027318117923,26163506900,0.46649267845436404,3711.0,3680.0,1506.0,1520.0,1308.0,212.0,0.4664926784543641,1.0,3711.0,3680.0,1506.0,1520.0,1308.0,212.0
Live in Peace,5.034027318117923,26163507000,0.457881540910095,2769.0,2696.0,854.0,1172.0,933.0,239.0,0.45732068842646484,0.9987751144487822,2765.608291908678,2692.697708553917,852.95394773926,1170.5644341339728,931.8571817807137,238.70725235325895
Live in Peace,5.034027318117923,26163507100,0.4168278506206304,1455.0,1455.0,754.0,1206.0,700.0,506.0,0.4168278506206304,1.0,1455.0,1455.0,754.0,1206.0,700.0,506.0
Live in Peace,5.034027318117923,26163507200,0.2913306927970022,1327.0,1327.0,304.0,723.0,436.0,287.0,0.2912857497954197,0.9998457320059517,1326.7952863718979,1326.7952863718979,303.9531025298093,722.888464240303,435.93273915459497,286.95572508570814
Live in Peace,5.034027318117923,26163507300,0.5057141770039143,2100.0,2100.0,782.0,1227.0,757.0,470.0,0.5057141770039144,1.0,2100.0,2100.0,782.0,1227.0,757.0,470.0
Live in Peace,5.034027318117923,26163507400,0.4785782733492545,2713.0,2696.0,1454.0,1341.0,867.0,474.0,0.4785782733492544,0.9999999999999998,2712.9999999999995,2695.9999999999995,1453.9999999999998,1340.9999999999998,866.9999999999998,473.9999999999999
Live in Peace,5.034027318117923,26163507500,0.34493373778031133,2206.0,2206.0,638.0,1134.0,859.0,275.0,0.3442574720514328,0.9980394329263633,2201.6749890355577,2201.6749890355577,636.7491582070198,1131.776716938496,857.3158728837461,274.46084405474994
Live in Peace,5.034027318117923,26163508000,0.6767707031402197,1079.0,1067.0,714.0,815.0,543.0,272.0,0.009776759405675229,0.014446191834710062,15.587440989652157,15.414086687635637,10.314580969982984,11.7736463452887,7.844282166247564,3.929364179041137
Live in Peace,5.034027318117923,26163508100,0.6078126147617906,1398.0,1398.0,784.0,928.0,411.0,517.0,0.42461534981819676,0.6985958163843126,976.636951305269,976.636951305269,547.699120045301,648.2969176046421,287.12288053395247,361.1740370706896
Live in Peace,5.034027318117923,26163509000,0.9012527690566293,1655.0,1649.0,423.0,1282.0,691.0,591.0,0.5027445584475049,0.5578285867279431,923.2063110347458,919.8593395143782,235.96149218591992,715.136248185223,385.4595534290087,329.6766947562144
Live in Peace,5.034027318117923,26163509100,1.0913906056940783,4317.0,4301.0,1305.0,1652.0,1147.0,505.0,0.007809854420000889,0.0071558746971568,30.891911067625905,30.777417072471394,9.338416479789624,11.821504999703032,8.20778827763885,3.6137167220641837
Team Pursuit,4.575201179084904,26163500100,0.4711057296108341,4042.0,4016.0,1373.0,1666.0,1354.0,312.0,0.4710857364986377,0.9999575613053722,4041.8284627963144,4015.8295662023747,1372.941731672276,1665.92929713475,1353.942538007474,311.9867591272761
Team Pursuit,4.575201179084904,26163500200,0.3627971624050507,2510.0,2460.0,826.0,1266.0,1129.0,137.0,0.3624949161989138,0.9991669003028213,2507.9089197600815,2457.9505747449402,825.3118596501304,1264.9452957833716,1128.0594304418853,136.88586534148652
Team Pursuit,4.575201179084904,26163500300,0.49594505931170996,1947.0,1835.0,575.0,1115.0,737.0,378.0,0.4959450593117098,0.9999999999999997,1946.9999999999993,1834.9999999999993,574.9999999999998,1114.9999999999995,736.9999999999998,377.9999999999999
Team Pursuit,4.575201179084904,26163500400,0.38137050971648095,1041.0,1039.0,657.0,759.0,410.0,349.0,0.381370509716481,1.0,1041.0,1039.0,657.0,759.0,410.0,349.0
Team Pursuit,4.575201179084904,26163500500,0.31398091216781443,1165.0,1142.0,226.0,788.0,533.0,255.0,0.3121116895213603,0.9940466997386929,1158.0644051955771,1135.2013311015874,224.65455414094458,783.30879939409,529.8268909607233,253.48190843336667
Team Pursuit,4.575201179084904,26163500600,0.5667053240789169,2811.0,2811.0,884.0,1388.0,985.0,403.0,0.5667049198485021,0.9999992867008697,2810.9979949161448,2810.9979949161448,883.9993694435688,1387.9990099408071,984.9992974003567,402.9997125404505
Team Pursuit,4.575201179084904,26163500700,0.4708249579146441,4284.0,4284.0,1415.0,1637.0,1343.0,294.0,0.003179481153462057,0.006753000451684775,28.929853935017576,28.929853935017576,9.555495639133957,11.054661739407976,9.069279606612653,1.9853821327953238
Team Pursuit,4.575201179084904,26163500900,0.45021753030162726,3771.0,3771.0,1666.0,1706.0,1279.0,427.0,0.18783589796575514,0.41721142630744035,1573.3042886053574,1573.3042886053574,695.0742362281957,711.7626932804932,533.6134142472162,178.14927903327703
Team Pursuit,4.575201179084904,26163501000,0.34590017992739436,2933.0,2905.0,1184.0,1230.0,853.0,377.0,0.1581064721718316,0.45708699025545085,1340.6361424192373,1327.8377066920848,541.1909964624538,562.2169980142046,389.8952026878996,172.32179532630497
Team Pursuit,4.575201179084904,26163501100,0.4769644302041611,2886.0,2886.0,1352.0,1488.0,1174.0,314.0,0.003981965796294,0.008348559230275408,24.09394193857483,24.09394193857483,11.287252079332353,12.422656134649808,9.80120853634333,2.621447598306478
Team Pursuit,4.575201179084904,26163503100,0.37852788963094997,2783.0,2635.0,523.0,1252.0,1162.0,90.0,0.37852078378616644,0.9999812276849919,2782.9477566473324,2634.9505349499536,522.9901820792508,1251.9764970616097,1161.9781865699606,89.99831049164926
Team Pursuit,4.575201179084904,26163503200,0.49079837794860404,2663.0,2663.0,735.0,1348.0,1055.0,293.0,0.2139522707233007,0.43592701267180145,1160.8736347450072,1160.8736347450072,320.40635431377405,587.6296130815883,459.9029983687505,127.72661471283783
Team Pursuit,4.575201179084904,26163503300,0.5011650167395433,3077.0,3039.0,1027.0,1522.0,1241.0,281.0,0.21936971514402326,0.43771952913072193,1346.8629911352314,1330.229649028264,449.5379564172514,666.2091233369588,543.2099356512259,122.99918768573286
Team Pursuit,4.575201179084904,26163503400,0.25876067579188455,832.0,832.0,393.0,579.0,370.0,209.0,0.25876067579188455,1.0,832.0,832.0,393.0,579.0,370.0,209.0
Team Pursuit,4.575201179084904,26163503500,0.6235639897907119,1878.0,1878.0,539.0,1304.0,708.0,596.0,0.34424129546867843,0.5520544821457969,1036.7583174698066,1036.7583174698066,297.5573658765845,719.8790447181192,390.8545733592242,329.02447135889497
Team Pursuit,4.575201179084904,26163503600,0.2852555083701192,1410.0,1410.0,569.0,932.0,663.0,269.0,0.07485416080715969,0.2624109214747796,369.9993992794393,369.9993992794393,149.31181431914962,244.5669788144946,173.97844093777888,70.58853787671572
