GEOID,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units
26163500100,4042.0,4016.0,1373.0,1666.0,1354.0,312.0
26163500200,2510.0,2460.0,826.0,1266.0,1129.0,137.0
26163500300,1947.0,1835.0,575.0,1115.0,737.0,378.0
26163500400,1041.0,1039.0,657.0,759.0,410.0,349.0
26163500500,1165.0,1142.0,226.0,788.0,533.0,255.0
26163500600,2811.0,2811.0,884.0,1388.0,985.0,403.0
26163500700,4284.0,4284.0,1415.0,1637.0,1343.0,294.0
26163500800,2287.0,2287.0,758.0,1031.0,899.0,132.0
26163500900,3771.0,3771.0,1666.0,1706.0,1279.0,427.0
26163501000,2933.0,2905.0,1184.0,1230.0,853.0,377.0
26163501100,2886.0,2886.0,1352.0,1488.0,1174.0,314.0
26163501200,1639.0,1639.0,806.0,682.0,498.0,184.0
26163501300,3746.0,3746.0,1099.0,1401.0,1147.0,254.0
26163501400,3365.0,3365.0,592.0,1365.0,1169.0,196.0
26163501500,4168.0,4139.0,868.0,1723.0,1572.0,151.0
26163501600,1974.0,1955.0,799.0,870.0,740.0,130.0
26163501700,1702.0,1439.0,599.0,925.0,693.0,232.0
26163501800,4914.0,4914.0,527.0,2045.0,1831.0,214.0
26163501900,2899.0,2866.0,1208.0,1059.0,903.0,156.0
26163502000,1978.0,1978.0,615.0,990.0,776.0,214.0
26163502600,3247.0,3247.0,1101.0,1746.0,1243.0,503.0
26163502700,2291.0,2291.0,881.0,1333.0,909.0,424.0
26163503100,2783.0,2635.0,523.0,1252.0,1162.0,90.0
26163503200,2663.0,2663.0,735.0,1348.0,1055.0,293.0
26163503300,3077.0,3039.0,1027.0,1522.0,1241.0,281.0
26163503400,832.0,832.0,393.0,579.0,370.0,209.0
26163503500,1878.0,1878.0,539.0,1304.0,708.0,596.0
26163503600,1410.0,1410.0,569.0,932.0,663.0,269.0
26163503900,1795.0,1795.0,756.0,936.0,611.0,325.0
26163504000,1024.0,1023.0,191.0,540.0,378.0,162.0
26163504100,1209.0,1185.0,457.0,756.0,547.0,209.0
26163504200,1639.0,1634.0,475.0,1066.0,603.0,463.0
26163504300,2053.0,2053.0,516.0,1024.0,726.0,298.0
26163504400,1699.0,1699.0,771.0,873.0,572.0,301.0
26163505100,2446.0,2401.0,675.0,1794.0,1436.0,358.0
26163505200,3188.0,3179.0,1173.0,1542.0,1300.0,242.0
26163505400,2183.0,2183.0,586.0,1317.0,841.0,476.0
26163505600,4458.0,4441.0,1533.0,1783.0,1532.0,251.0
26163505700,3164.0,3149.0,1077.0,1700.0,1025.0,675.0
26163505800,3340.0,3337.0,1169.0,1316.0,929.0,387.0
26163506100,1905.0,1905.0,796.0,787.0,702.0,85.0
26163506200,2364.0,2364.0,658.0,1023.0,778.0,245.0
26163506300,1717.0,1701.0,906.0,987.0,729.0,258.0
26163506400,1253.0,721.0,307.0,466.0,267.0,199.0
26163506500,1955.0,1955.0,551.0,991.0,702.0,289.0
26163506600,2547.0,2547.0,794.0,1524.0,1057.0,467.0
