term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,-0.578,0.451,-1.282,0.2,-1.463,0.306
C(pair_id)[T.PAIR_02],-0.594,0.015,-38.329,0.0,-0.624,-0.563
C(pair_id)[T.PAIR_03],-0.746,0.036,-20.887,0.0,-0.816,-0.676
C(pair_id)[T.PAIR_04],-0.897,0.03,-30.27,0.0,-0.955,-0.839
C(pair_id)[T.PAIR_05],-0.619,0.024,-26.343,0.0,-0.666,-0.573
C(pair_id)[T.PAIR_06],-0.233,0.013,-17.684,0.0,-0.259,-0.207
C(pair_id)[T.PAIR_07],-0.03,0.002,-15.364,0.0,-0.033,-0.026
C(month)[T.Timestamp('2021-02-01 00:00:00')],0.72,1.007,0.715,0.475,-1.253,2.693
C(month)[T.Timestamp('2021-03-01 00:00:00')],-0.535,0.774,-0.692,0.489,-2.052,0.982
C(month)[T.Timestamp('2021-04-01 00:00:00')],1.188,1.192,0.997,0.319,-1.148,3.525
C(month)[T.Timestamp('2021-05-01 00:00:00')],2.629,1.18,2.228,0.026,0.316,4.942
C(month)[T.Timestamp('2021-06-01 00:00:00')],1.146,0.619,1.852,0.064,-0.067,2.359
C(month)[T.Timestamp('2021-07-01 00:00:00')],2.755,0.833,3.308,0.001,1.123,4.388
C(month)[T.Timestamp('2021-08-01 00:00:00')],1.549,0.843,1.839,0.066,-0.102,3.201
C(month)[T.Timestamp('2021-09-01 00:00:00')],2.781,1.172,2.372,0.018,0.483,5.079
C(month)[T.Timestamp('2021-10-01 00:00:00')],1.042,0.808,1.289,0.197,-0.542,2.626
C(month)[T.Timestamp('2021-11-01 00:00:00')],0.757,0.823,0.92,0.358,-0.856,2.37
C(month)[T.Timestamp('2021-12-01 00:00:00')],0.594,0.444,1.34,0.18,-0.275,1.464
C(month)[T.Timestamp('2022-01-01 00:00:00')],0.294,1.182,0.249,0.803,-2.023,2.612
C(month)[T.Timestamp('2022-02-01 00:00:00')],0.267,0.853,0.313,0.755,-1.406,1.94
C(month)[T.Timestamp('2022-03-01 00:00:00')],0.607,0.468,1.296,0.195,-0.311,1.524
C(month)[T.Timestamp('2022-04-01 00:00:00')],0.572,0.712,0.803,0.422,-0.823,1.967
C(month)[T.Timestamp('2022-05-01 00:00:00')],1.977,1.086,1.82,0.069,-0.152,4.106
C(month)[T.Timestamp('2022-06-01 00:00:00')],2.371,1.176,2.015,0.044,0.065,4.676
C(month)[T.Timestamp('2022-07-01 00:00:00')],1.942,0.525,3.696,0.0,0.912,2.972
C(month)[T.Timestamp('2022-08-01 00:00:00')],2.326,0.651,3.576,0.0,1.051,3.601
C(month)[T.Timestamp('2022-09-01 00:00:00')],0.739,1.098,0.673,0.501,-1.413,2.89
C(month)[T.Timestamp('2022-10-01 00:00:00')],2.099,0.634,3.314,0.001,0.858,3.341
C(month)[T.Timestamp('2022-11-01 00:00:00')],-0.638,0.931,-0.685,0.493,-2.462,1.187
C(month)[T.Timestamp('2022-12-01 00:00:00')],1.038,0.601,1.728,0.084,-0.139,2.216
