term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,0.092,0.436,0.211,0.833,-0.762,0.947
C(pair_id)[T.PAIR_02],-0.619,0.012,-53.534,0.0,-0.641,-0.596
C(pair_id)[T.PAIR_03],-0.804,0.027,-30.153,0.0,-0.856,-0.751
C(pair_id)[T.PAIR_04],-0.945,0.022,-42.731,0.0,-0.988,-0.901
C(pair_id)[T.PAIR_06],-0.254,0.01,-25.859,0.0,-0.273,-0.235
C(month)[T.Timestamp('2021-02-01 00:00:00')],1.383,1.262,1.096,0.273,-1.09,3.856
C(month)[T.Timestamp('2021-03-01 00:00:00')],-0.434,0.821,-0.529,0.597,-2.043,1.175
C(month)[T.Timestamp('2021-04-01 00:00:00')],1.61,0.892,1.805,0.071,-0.138,3.358
C(month)[T.Timestamp('2021-05-01 00:00:00')],2.963,1.193,2.483,0.013,0.624,5.301
C(month)[T.Timestamp('2021-06-01 00:00:00')],1.175,0.669,1.757,0.079,-0.136,2.486
C(month)[T.Timestamp('2021-07-01 00:00:00')],3.422,0.801,4.27,0.0,1.851,4.993
C(month)[T.Timestamp('2021-08-01 00:00:00')],1.861,0.822,2.263,0.024,0.249,3.472
C(month)[T.Timestamp('2021-09-01 00:00:00')],2.594,0.974,2.663,0.008,0.684,4.503
C(month)[T.Timestamp('2021-10-01 00:00:00')],1.191,1.016,1.172,0.241,-0.801,3.183
C(month)[T.Timestamp('2021-11-01 00:00:00')],0.674,1.214,0.555,0.579,-1.707,3.054
C(month)[T.Timestamp('2021-12-01 00:00:00')],0.555,0.56,0.99,0.322,-0.543,1.652
C(month)[T.Timestamp('2022-01-01 00:00:00')],0.348,0.831,0.419,0.675,-1.28,1.977
C(month)[T.Timestamp('2022-02-01 00:00:00')],0.202,0.828,0.244,0.807,-1.42,1.825
C(month)[T.Timestamp('2022-03-01 00:00:00')],1.134,0.325,3.493,0.0,0.498,1.77
C(month)[T.Timestamp('2022-04-01 00:00:00')],0.968,0.761,1.271,0.204,-0.525,2.46
C(month)[T.Timestamp('2022-05-01 00:00:00')],2.378,1.386,1.715,0.086,-0.339,5.095
C(month)[T.Timestamp('2022-06-01 00:00:00')],2.566,1.046,2.453,0.014,0.515,4.617
C(month)[T.Timestamp('2022-07-01 00:00:00')],2.089,0.713,2.928,0.003,0.691,3.487
C(month)[T.Timestamp('2022-08-01 00:00:00')],2.333,0.888,2.628,0.009,0.593,4.073
C(month)[T.Timestamp('2022-09-01 00:00:00')],0.919,1.205,0.763,0.446,-1.443,3.28
C(month)[T.Timestamp('2022-10-01 00:00:00')],2.075,0.715,2.9,0.004,0.672,3.477
C(month)[T.Timestamp('2022-11-01 00:00:00')],-0.394,0.747,-0.527,0.598,-1.859,1.071
C(month)[T.Timestamp('2022-12-01 00:00:00')],1.173,0.849,1.382,0.167,-0.49,2.836
C(month)[T.Timestamp('2023-01-01 00:00:00')],-0.411,1.044,-0.394,0.694,-2.457,1.635
C(month)[T.Timestamp('2023-02-01 00:00:00')],0.735,0.444,1.653,0.098,-0.136,1.606
C(month)[T.Timestamp('2023-03-01 00:00:00')],-0.494,0.399,-1.237,0.216,-1.276,0.289
C(month)[T.Timestamp('2023-04-01 00:00:00')],-0.106,0.529,-0.2,0.842,-1.144,0.932
C(month)[T.Timestamp('2023-05-01 00:00:00')],1.258,0.415,3.035,0.002,0.446,2.071
C(month)[T.Timestamp('2023-06-01 00:00:00')],1.344,0.57,2.356,0.018,0.226,2.462
C(month)[T.Timestamp('2023-07-01 00:00:00')],2.166,1.153,1.878,0.06,-0.094,4.426
C(month)[T.Timestamp('2023-08-01 00:00:00')],0.926,0.779,1.187,0.235,-0.602,2.453
C(month)[T.Timestamp('2023-09-01 00:00:00')],1.928,0.353,5.461,0.0,1.236,2.619
C(month)[T.Timestamp('2023-10-01 00:00:00')],-0.673,0.338,-1.988,0.047,-1.336,-0.01
C(month)[T.Timestamp('2023-11-01 00:00:00')],-0.57,0.205,-2.782,0.005,-0.971,-0.168
C(month)[T.Timestamp('2023-12-01 00:00:00')],-0.389,0.476,-0.817,0.414,-1.321,0.544
C(month)[T.Timestamp('2024-01-01 00:00:00')],0.005,0.415,0.011,0.991,-0.809,0.818
C(month)[T.Timestamp('2024-02-01 00:00:00')],-0.491,0.407,-1.206,0.228,-1.29,0.307
C(month)[T.Timestamp('2024-03-01 00:00:00')],0.788,1.132,0.696,0.487,-1.432,3.007
C(month)[T.Timestamp('2024-04-01 00:00:00')],0.157,0.667,0.235,0.814,-1.151,1.465
C(month)[T.Timestamp('2024-05-01 00:00:00')],1.085,0.973,1.115,0.265,-0.822,2.992
C(month)[T.Timestamp('2024-06-01 00:00:00')],0.626,0.236,2.657,0.008,0.164,1.088
C(month)[T.Timestamp('2024-07-01 00:00:00')],0.323,0.52,0.622,0.534,-0.696,1.342
C(month)[T.Timestamp('2024-08-01 00:00:00')],0.092,0.435,0.212,0.832,-0.761,0.945
C(month)[T.Timestamp('2024-09-01 00:00:00')],-0.765,0.466,-1.64,0.101,-1.679,0.149
C(month)[T.Timestamp('2024-10-01 00:00:00')],-0.356,0.549,-0.648,0.517,-1.433,0.721
C(month)[T.Timestamp('2024-11-01 00:00:00')],-0.133,0.39,-0.341,0.733,-0.897,0.631
C(month)[T.Timestamp('2024-12-01 00:00:00')],-0.324,0.302,-1.073,0.283,-0.917,0.268
C(month)[T.Timestamp('2025-01-01 00:00:00')],0.54,0.438,1.235,0.217,-0.317,1.398
C(month)[T.Timestamp('2025-02-01 00:00:00')],-0.05,0.199,-0.25,0.802,-0.441,0.341
C(month)[T.Timestamp('2025-03-01 00:00:00')],-0.874,0.221,-3.963,0.0,-1.306,-0.442
C(month)[T.Timestamp('2025-04-01 00:00:00')],1.079,0.642,1.681,0.093,-0.179,2.337
C(month)[T.Timestamp('2025-05-01 00:00:00')],0.351,1.019,0.344,0.731,-1.646,2.348
C(month)[T.Timestamp('2025-06-01 00:00:00')],0.445,0.788,0.564,0.573,-1.1,1.989
C(month)[T.Timestamp('2025-07-01 00:00:00')],0.768,0.361,2.129,0.033,0.061,1.475
C(month)[T.Timestamp('2025-08-01 00:00:00')],0.057,0.219,0.261,0.794,-0.372,0.486
C(month)[T.Timestamp('2025-09-01 00:00:00')],0.012,0.324,0.036,0.971,-0.623,0.646
C(month)[T.Timestamp('2025-10-01 00:00:00')],-0.244,0.367,-0.666,0.506,-0.963,0.475
C(month)[T.Timestamp('2025-11-01 00:00:00')],-0.174,0.335,-0.52,0.603,-0.831,0.483
C(month)[T.Timestamp('2025-12-01 00:00:00')],-0.813,0.43,-1.892,0.058,-1.656,0.029
C(month)[T.Timestamp('2026-01-01 00:00:00')],-0.636,0.258,-2.467,0.014,-1.141,-0.131
C(month)[T.Timestamp('2026-02-01 00:00:00')],-0.511,0.392,-1.304,0.192,-1.278,0.257
C(month)[T.Timestamp('2026-03-01 00:00:00')],-1.722,0.234,-7.348,0.0,-2.181,-1.262
treated,2.741,0.284,9.668,0.0,2.186,3.297
post,0.456,0.46,0.991,0.322,-0.445,1.357
treated:post,-0.779,0.25,-3.115,0.002,-1.27,-0.289
log_calls,0.472,0.098,4.836,0.0,0.281,0.664
