pair_id,pair_cvi_name,zone_name,zone_type,treated,month,crime_count,calls_count,post,treated_post,log_calls,month_str,zone_id
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-01-01,2.0,19.0,0,0,2.996,2021-01,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-02-01,6.0,12.0,0,0,2.565,2021-02,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-03-01,0.0,10.0,0,0,2.398,2021-03,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-04-01,7.0,14.0,0,0,2.708,2021-04,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-05-01,2.0,20.0,0,0,3.045,2021-05,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-06-01,4.0,16.5,0,0,2.862,2021-06,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-07-01,0.0,14.0,0,0,2.708,2021-07,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-08-01,6.0,26.5,0,0,3.314,2021-08,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-09-01,2.0,21.0,0,0,3.091,2021-09,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-10-01,4.0,14.0,0,0,2.708,2021-10,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-11-01,1.0,9.0,0,0,2.303,2021-11,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2021-12-01,4.0,13.0,0,0,2.639,2021-12,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-01-01,0.0,7.0,0,0,2.079,2022-01,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-02-01,0.0,13.0,0,0,2.639,2022-02,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-03-01,2.0,17.0,0,0,2.89,2022-03,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-04-01,2.0,8.0,0,0,2.197,2022-04,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-05-01,2.0,20.0,0,0,3.045,2022-05,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-06-01,7.0,10.0,0,0,2.398,2022-06,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-07-01,3.0,17.0,0,0,2.89,2022-07,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-08-01,4.5,16.5,0,0,2.862,2022-08,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-09-01,1.0,12.0,0,0,2.565,2022-09,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-10-01,6.0,9.0,0,0,2.303,2022-10,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-11-01,2.0,18.0,0,0,2.944,2022-11,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-12-01,2.0,12.0,0,0,2.565,2022-12,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-01-01,1.0,15.5,0,0,2.803,2023-01,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-02-01,1.0,11.0,0,0,2.485,2023-02,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-03-01,3.0,22.0,0,0,3.135,2023-03,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-04-01,1.0,13.0,0,0,2.639,2023-04,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-05-01,3.0,13.0,0,0,2.639,2023-05,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-06-01,2.0,23.0,0,0,3.178,2023-06,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-07-01,2.0,18.0,0,0,2.944,2023-07,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-08-01,1.0,16.0,1,0,2.833,2023-08,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-09-01,1.0,13.0,1,0,2.639,2023-09,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-10-01,2.0,17.0,1,0,2.89,2023-10,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-11-01,1.0,22.0,1,0,3.135,2023-11,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-12-01,2.0,11.0,1,0,2.485,2023-12,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-01-01,1.0,15.0,1,0,2.773,2024-01,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-02-01,3.0,11.0,1,0,2.485,2024-02,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-03-01,3.5,12.0,1,0,2.565,2024-03,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-04-01,3.0,14.0,1,0,2.708,2024-04,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-05-01,0.0,17.0,1,0,2.89,2024-05,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-06-01,2.0,17.0,1,0,2.89,2024-06,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-07-01,1.0,8.0,1,0,2.197,2024-07,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-08-01,4.0,17.0,1,0,2.89,2024-08,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-09-01,2.0,14.0,1,0,2.708,2024-09,CAND_0036
