pair_id,pair_cvi_name,zone_name,zone_type,treated,month,crime_count,calls_count,event_time_k,log_calls,month_str,event_time_cat
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-08-01,4.5,16.5,-12,2.862,2022-08,m12
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-09-01,1.0,12.0,-11,2.565,2022-09,m11
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-10-01,6.0,9.0,-10,2.303,2022-10,m10
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-11-01,2.0,18.0,-9,2.944,2022-11,m9
PAIR_01,Detroit 300,CAND_0036,Control,0,2022-12-01,2.0,12.0,-8,2.565,2022-12,m8
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-01-01,1.0,15.5,-7,2.803,2023-01,m7
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-02-01,1.0,11.0,-6,2.485,2023-02,m6
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-03-01,3.0,22.0,-5,3.135,2023-03,m5
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-04-01,1.0,13.0,-4,2.639,2023-04,m4
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-05-01,3.0,13.0,-3,2.639,2023-05,m3
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-06-01,2.0,23.0,-2,3.178,2023-06,m2
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-07-01,2.0,18.0,-1,2.944,2023-07,m1
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-08-01,1.0,16.0,0,2.833,2023-08,p0
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-09-01,1.0,13.0,1,2.639,2023-09,p1
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-10-01,2.0,17.0,2,2.89,2023-10,p2
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-11-01,1.0,22.0,3,3.135,2023-11,p3
PAIR_01,Detroit 300,CAND_0036,Control,0,2023-12-01,2.0,11.0,4,2.485,2023-12,p4
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-01-01,1.0,15.0,5,2.773,2024-01,p5
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-02-01,3.0,11.0,6,2.485,2024-02,p6
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-03-01,3.5,12.0,7,2.565,2024-03,p7
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-04-01,3.0,14.0,8,2.708,2024-04,p8
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-05-01,0.0,17.0,9,2.89,2024-05,p9
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-06-01,2.0,17.0,10,2.89,2024-06,p10
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-07-01,1.0,8.0,11,2.197,2024-07,p11
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-08-01,4.0,17.0,12,2.89,2024-08,p12
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-09-01,2.0,14.0,13,2.708,2024-09,p13
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-10-01,1.0,7.0,14,2.079,2024-10,p14
PAIR_01,Detroit 300,CAND_0036,Control,0,2024-11-01,2.0,13.0,15,2.639,2024-11,p15
